clave_res,FECHA,Hombre_ingreso,Mujer_ingreso,Total_Ingresos_Respiratorios_COVID,Hombres_Recuperados,Mujeres_Recuperadas,Total_Recuperados,Hombre_defuncion,Mujer_defuncion,Total_Defunciones,Hombre_ambulatorio,Mujer_ambulatorio,Total_ambulatorio,Hombre_hospitalizado,Mujer_hospitalizado,Total_hospitalizado,Temperatura Promedio,Humedad relativa Promedio,PM25 Promedio,PM10 Promedio,O3 Promedio,SO2 Promedio,CO Promedio,NO2 Promedio,NOX Promedio,NO Promedio,Temperatura Máxima,Humedad relativa Máxima,PM25 Máxima,PM10 Máxima,O3 Máxima,NO Máxima,NOX Máxima,NO2 Máxima,CO Máxima,SO2 Máxima,Temperatura Minima,Humedad relativa Minima,LAT_DECIMAL,LON_DECIMAL,ALTITUD
090090029,01/12/2012,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,14.05368,45.76502,31.73608,65.96852,27.27186,5.40084,0.99043,32.78435,56.92337,24.17007,25.8979,83.78963,126.96541,326.53627,133.95003,231.36402,276.43119,276.43119,3.48387,67.59375,3.457,9.23125,19.201637,-99.049411,2445
090070001,01/12/2012,98,81,179,94,75,169,4,6,10,7,6,13,91,75,166,15.0367,43.743,33.26479,66.85398,23.38323,5.50577,1.23119,41.52981,76.73333,35.22095,25.35501,84.37589,128.8216,243.12509,129.34668,329.47289,382.24556,382.24556,5.08555,100.75821,4.7159,11.42872,19.359004,-99.092622,2242
090040001,01/12/2012,3,2,5,3,1,4,0,1,1,0,0,0,3,2,5,12.41186,42.52643,26.11755,54.14794,29.71076,7.94034,0.67521,33.20899,53.69118,20.48037,23.11752,85.29209,118.94893,297.49141,120.95476,258.84062,312.1877,312.1877,3.20665,82.73242,3.46808,12.94433,19.35735,-99.299792,2780
090130001,01/12/2012,30,31,61,29,29,58,1,2,3,3,2,5,27,29,56,14.36042,44.49321,30.39946,65.85564,25.88597,5.19061,1.01656,35.49033,62.3931,26.92422,25.40894,84.5291,118.75296,348.63502,135.12117,238.29993,284.96609,284.96609,3.65827,86.1447,3.98282,10.61717,19.263462,-99.104913,2237
090170001,01/12/2012,23,21,44,22,20,42,1,1,2,4,2,6,19,19,38,15.50163,42.7313,32.00733,76.3415,20.20394,7.48482,1.49092,48.2936,104.55656,56.30275,25.59061,91.19426,144.04517,582.7256,115.49027,332.87211,398.60073,398.60073,4.84451,102.34217,4.92369,10.98644,19.419261,-99.113701,2229
090150001,01/12/2012,26,26,52,25,24,49,1,2,3,2,3,5,24,23,47,15.54192,42.51067,33.83383,70.96406,21.64667,8.4591,1.287,44.32511,95.21469,50.857,25.53705,82.92978,131.85307,384.03205,119.19492,366.42393,427.99925,427.99925,4.77713,112.88278,5.28171,10.65593,19.441646,-99.151884,2230
090110001,01/12/2012,25,26,51,24,25,49,1,1,2,0,2,2,25,24,49,13.92131,46.38016,32.30995,64.88664,28.81703,4.91711,0.92382,29.48258,45.98856,16.61068,26.24096,83.18812,130.07959,312.78863,137.66894,193.90765,232.96151,232.96151,2.99592,48.31906,3.23143,8.43407,19.270566,-99.004846,2249
090060001,01/12/2012,16,13,29,16,12,28,0,1,1,2,3,5,14,10,24,15.32747,43.16662,32.84237,66.76931,22.67437,6.59244,1.30482,43.26999,87.52148,44.22762,25.46371,86.3681,138.78985,366.95688,127.06558,308.89784,365.32887,365.32887,4.82421,102.66203,4.93012,11.20154,19.395901,-99.097612,2233
090100001,01/12/2012,26,21,47,22,18,40,4,3,7,5,0,5,21,21,42,14.77943,43.0211,33.93738,68.55125,22.70834,8.46762,1.2235,44.62906,83.10756,38.47975,25.03835,84.05425,129.75042,321.77144,124.27793,272.55136,328.62096,328.62096,4.03887,102.52459,4.65006,11.14842,19.390806,-99.195413,2308
090020001,01/12/2012,25,27,52,23,27,50,2,0,2,0,1,1,25,26,51,14.94947,43.61612,35.19729,69.59914,21.05881,9.86846,1.22455,44.38329,97.79736,53.44027,24.9797,82.54406,118.44551,307.99043,115.99059,398.96199,465.07586,465.07586,4.69573,127.83366,4.71984,11.45782,19.484102,-99.18436,2244
090050001,01/12/2012,72,73,145,69,66,135,3,7,10,11,6,17,61,67,128,15.10304,43.45864,34.99916,78.68026,22.48974,8.08368,1.32947,43.50949,99.59913,56.0851,25.27345,85.71195,157.57376,402.31633,122.35432,409.88977,468.06881,468.06881,5.32554,104.0424,4.6814,11.13876,19.482945,-99.113471,2229
090040001,01/01/2013,4,2,6,4,2,6,0,0,0,0,0,0,4,2,6,11.57539,47.71146,26.7943,50.21616,27.7611,10.54135,0.82544,26.9961,45.50714,18.51793,23.4602,87.33722,118.61904,174.50361,122.73837,260.81617,294.40608,294.40608,3.30013,147.60193,0.02799,10.11674,19.35735,-99.299792,2780
090070001,01/01/2013,109,79,188,99,73,172,10,6,16,12,2,14,96,76,172,14.62658,45.84105,29.77096,57.45293,22.35199,10.40971,1.09786,34.87577,64.3581,29.48157,24.89734,92.80706,152.42061,202.26316,107.06935,277.4355,316.02455,316.02455,4.83899,224.29864,3.50584,8.68559,19.359004,-99.092622,2242
090050001,01/01/2013,68,60,128,64,56,120,4,4,8,8,7,15,60,53,113,14.66154,45.8529,31.10811,65.87143,22.0351,12.90435,1.06486,36.74385,77.85886,41.10887,24.93443,93.36823,186.97725,269.30814,114.64425,344.97438,387.73282,387.73282,4.60499,184.36825,3.61938,8.95779,19.482945,-99.113471,2229
090160001,01/01/2013,4,8,12,4,7,11,0,1,1,0,1,1,4,7,11,14.59966,45.31053,32.25498,60.96789,21.1923,13.87951,1.12907,39.61634,72.37602,32.74227,24.73628,90.18647,149.86592,193.43169,115.84335,202.74695,250.28261,250.28261,3.43273,152.80452,3.35943,9.48857,19.407269,-99.190754,2264
090150001,01/01/2013,40,25,65,37,24,61,3,1,4,8,1,9,32,24,56,15.03403,44.85032,31.01841,60.44654,20.93745,14.36736,1.09953,37.5923,76.76492,39.15371,24.93161,90.76588,163.57932,218.78106,114.05381,304.34155,344.46457,344.46457,4.22299,192.77735,3.85502,9.20776,19.441646,-99.151884,2230
090090001,01/01/2013,8,3,11,8,3,11,0,0,0,0,0,0,7,3,10,13.9123,47.05302,29.50937,57.56753,26.10624,8.56142,0.91657,27.80722,46.7716,19.00914,26.18074,91.60921,159.1268,283.33042,110.861,191.77891,230.2208,230.2208,3.62298,133.62816,2.42204,5.50215,19.191249,-99.023371,2429
090130001,01/01/2013,32,32,64,31,31,62,1,1,2,6,2,8,26,29,55,14.04251,46.50051,28.60559,56.76215,25.43598,9.23789,0.92948,30.96444,53.33221,22.36687,25.30875,92.61867,158.25777,228.68217,121.72158,206.86062,249.78759,249.78759,3.62822,201.76673,2.8163,7.63311,19.263462,-99.104913,2237
090170001,01/01/2013,11,19,30,9,19,28,2,0,2,1,3,4,10,16,26,15.0003,45.16598,28.53189,63.14899,19.89765,13.07396,1.21138,40.98817,84.55367,43.63159,25.08258,97.37686,156.98999,211.12409,107.23644,301.16705,341.08032,341.08032,4.3465,222.70761,4.16203,8.10212,19.419261,-99.113701,2229
090030001,01/01/2013,23,16,39,23,16,39,0,0,0,7,5,12,14,11,25,14.2121,45.64811,33.3953,56.06555,22.3729,10.9191,0.95375,33.30915,61.31898,27.98104,25.04246,92.69437,132.8683,209.69812,114.52694,216.81992,247.4929,247.4929,3.76399,202.62393,3.1676,8.5899,19.350214,-99.162146,2247
090140001,01/01/2013,10,5,15,9,5,14,1,0,1,0,2,2,10,3,13,14.67066,45.17575,32.02698,56.65683,22.58862,11.62115,1.01577,34.39107,64.06764,29.66397,24.90794,90.70877,142.29039,213.24596,116.23552,233.90318,269.6289,269.6289,4.00832,198.97829,3.48408,9.1302,19.371992,-99.157853,2238
090060001,01/01/2013,15,12,27,13,11,24,2,1,3,3,1,4,12,11,23,14.86693,45.41038,29.36088,55.72661,21.44691,11.61969,1.09059,36.27521,71.57321,35.27829,24.93748,93.97117,158.23844,217.97442,111.57892,280.95483,318.83634,318.83634,4.64288,216.92919,3.83329,8.64918,19.395901,-99.097612,2233
090120001,01/01/2013,35,19,54,34,17,51,1,2,3,2,3,5,31,16,47,13.87233,46.00887,29.91968,55.09295,25.35004,9.19355,0.91343,30.2532,51.74696,21.47089,25.16902,93.78289,151.21715,207.31012,125.72817,187.06328,229.58756,229.58756,3.60924,181.78207,2.89797,8.14338,19.288275,-99.167125,2280
090080001,01/01/2013,15,12,27,14,10,24,1,2,3,2,3,5,13,9,22,13.36186,46.71678,28.94299,55.23422,26.74622,9.58072,0.80789,30.89548,52.36618,21.46326,24.55635,94.57967,141.61547,199.67184,129.53107,205.57383,246.17752,246.17752,3.05547,165.70851,2.3232,8.95236,19.304898,-99.241515,2520
090110001,01/01/2013,16,17,33,15,17,32,1,0,1,3,3,6,13,14,27,13.89021,47.15482,29.29194,57.20535,27.33289,7.69223,0.88936,25.9129,39.65543,13.81925,26.55601,91.23422,159.28934,317.96258,106.88682,150.2726,186.51579,186.51579,3.45163,103.82735,2.3116,4.58788,19.270566,-99.004846,2249
090100001,01/01/2013,24,16,40,19,15,34,5,1,6,0,1,1,24,15,39,14.26786,45.75324,32.03997,60.47985,21.65231,13.50029,1.10449,38.75053,70.52121,31.77181,24.66551,91.47364,149.00643,194.51054,116.73669,205.14044,251.48403,251.48403,3.43198,156.19591,3.0793,9.36627,19.390806,-99.195413,2308
090090011,01/01/2013,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,13.87958,47.15583,29.49071,57.2381,27.11538,7.75068,0.88852,25.91378,40.59239,14.68473,26.51486,91.27685,159.90628,308.9123,106.99121,159.74094,196.23531,196.23531,3.44861,104.91059,2.30965,4.69358,19.217537,-98.993717,2258
090020001,01/01/2013,19,20,39,18,17,35,1,3,4,1,1,2,18,19,37,14.47595,46.24193,32.81355,60.06434,20.47349,16.60335,1.08112,37.33523,78.25999,40.94435,24.97882,91.68256,168.44027,221.95929,117.10127,328.84745,369.36318,369.36318,4.14194,182.5106,3.5239,9.55195,19.484102,-99.18436,2244
090160001,01/02/2013,3,5,8,3,5,8,0,0,0,0,2,2,3,3,6,17.47462,32.23978,25.81552,58.21623,25.29893,8.41119,1.07484,38.37445,74.11397,35.67886,28.09124,78.41608,91.50198,153.39675,118.7804,286.98447,339.45959,339.45959,4.29314,137.68536,5.99668,5.90381,19.407269,-99.190754,2264
090110001,01/02/2013,24,17,41,21,17,38,3,0,3,2,0,2,22,17,39,16.52821,34.50717,25.33033,61.68574,33.27003,4.70109,0.80356,22.56029,36.26062,13.84079,30.15743,80.2341,90.63912,224.4096,126.615,194.11813,235.46035,235.46035,4.15561,61.17079,4.23468,4.2191,19.270566,-99.004846,2249
090140001,01/02/2013,6,4,10,6,3,9,0,1,1,2,1,3,4,3,7,17.54324,32.24262,25.0044,56.77933,26.55195,6.47697,0.98049,32.6999,63.95383,31.27513,28.31871,77.88891,83.60076,172.47517,117.63937,284.00691,329.66724,329.66724,4.64359,100.62187,6.06296,5.79506,19.371992,-99.157853,2238
090050001,01/02/2013,64,65,129,64,57,121,0,8,8,16,11,27,48,54,102,17.59049,32.66827,27.76436,67.35096,25.31627,7.61003,1.09889,36.70852,84.21617,47.50731,28.10156,77.81426,91.72956,198.54341,119.02126,421.1214,474.0422,474.0422,5.62884,110.53779,5.85495,5.77947,19.482945,-99.113471,2229
090090033,01/02/2013,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,16.71742,33.56309,24.44272,60.44242,30.51441,5.18376,0.87981,26.94026,50.49007,23.5627,29.16999,81.59964,87.85656,210.17073,121.72565,250.83643,299.25144,299.25144,4.30033,82.7029,4.66613,4.81988,19.191988,-99.089954,2753
090030001,01/02/2013,21,13,34,19,13,32,2,0,2,6,1,7,15,12,27,17.09938,32.27493,25.37427,55.70302,26.17113,5.95116,0.90387,32.1038,60.64381,28.58265,28.78112,80.47427,80.17255,198.7297,116.22434,245.74972,286.45186,286.45186,4.15453,96.20123,5.49255,5.12872,19.350214,-99.162146,2247
090020001,01/02/2013,22,14,36,21,14,35,1,0,1,4,3,7,18,11,29,17.39235,32.58144,26.92694,58.82515,24.28596,7.99082,1.07366,35.30894,81.48582,46.18841,27.99013,77.58948,79.98778,171.07698,117.29472,431.20546,480.43314,480.43314,5.31341,140.48694,5.74509,6.21327,19.484102,-99.18436,2244
090090001,01/02/2013,7,5,12,7,5,12,0,0,0,0,0,0,6,5,11,16.60147,34.19671,24.90612,62.08528,31.45307,5.06451,0.84557,25.02519,44.87089,19.92734,29.77892,80.73617,88.93408,219.93093,123.56075,234.93626,279.7279,279.7279,4.27179,73.17173,4.38328,4.4711,19.191249,-99.023371,2429
090060001,01/02/2013,5,8,13,5,8,13,0,0,0,0,1,1,5,7,12,17.81653,32.50815,25.97034,57.87225,25.4863,6.69928,1.08545,35.3213,74.18845,38.86275,28.15948,77.08406,94.16811,149.09125,117.35947,362.93762,412.85108,412.85108,5.54366,90.55152,6.13927,5.66671,19.395901,-99.097612,2233
090100001,01/02/2013,10,22,32,9,17,26,1,5,6,0,3,3,10,19,29,17.16286,32.28406,25.46313,57.76433,25.76473,8.08996,1.04825,37.26845,71.67665,34.37424,28.20416,80.62656,90.29695,155.82568,118.90287,283.02903,334.55622,334.55622,4.22434,133.81636,5.58243,5.51857,19.390806,-99.195413,2308
090120001,01/02/2013,26,40,66,23,37,60,3,3,6,6,4,10,18,34,52,16.75753,32.35231,22.73587,55.54036,30.69824,4.83647,0.85263,26.42508,48.32156,21.86356,29.13044,82.29326,82.17895,231.18616,119.44974,221.88652,274.91145,274.91145,3.83417,81.49934,5.05213,4.65868,19.288275,-99.167125,2280
090070001,01/02/2013,66,52,118,64,51,115,2,1,3,8,3,11,58,47,105,17.52673,32.80306,26.05019,59.48316,26.43492,5.75793,1.12379,33.50744,65.34841,31.85252,28.38552,79.28643,91.52875,164.60444,116.49594,307.32856,354.46694,354.46694,5.32525,81.62895,5.79109,5.77422,19.359004,-99.092622,2242
090130001,01/02/2013,31,23,54,30,22,52,1,1,2,2,1,3,28,22,50,16.8679,33.19161,24.29578,58.7671,30.46861,4.94101,0.85482,27.74584,50.57613,22.83104,28.97101,81.4492,90.18233,211.42811,124.05988,237.613,287.76119,287.76119,4.09247,79.79541,4.9405,4.99937,19.263462,-99.104913,2237
090150001,01/02/2013,19,17,36,18,17,35,1,0,1,1,3,4,18,14,32,17.92682,32.20926,26.36867,60.94535,24.66332,7.60792,1.1124,36.11434,80.53681,44.38651,28.04048,75.4369,89.29915,170.69625,116.08802,406.22383,456.54921,456.54921,5.36869,125.18879,6.48625,6.07776,19.441646,-99.151884,2230
090080001,01/02/2013,3,3,6,3,3,6,0,0,0,1,1,2,2,2,4,16.29844,32.27736,19.99007,50.31734,31.39436,4.65715,0.70937,26.51294,47.03448,20.53839,28.65235,86.39079,74.77358,177.78887,121.67389,224.87145,269.58406,269.58406,3.0076,100.06263,4.50019,4.41237,19.304898,-99.241515,2520
090090024,01/02/2013,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,16.69417,33.73604,24.57036,60.97561,30.5458,5.21496,0.87571,26.74189,49.94101,23.20244,29.31408,81.3716,88.14698,212.2032,122.00437,251.40466,298.96671,298.96671,4.31748,81.43682,4.59732,4.74904,19.187285,-99.073149,2716
090170001,01/02/2013,20,10,30,17,8,25,3,2,5,0,1,1,20,9,29,18.041,32.24498,25.95766,68.07172,22.75735,8.03617,1.32709,40.5943,90.91978,50.41477,28.01035,75.12322,108.22726,172.26279,108.94906,440.53331,494.72546,494.72546,5.75414,125.65576,6.30356,5.09551,19.419261,-99.113701,2229
090120027,01/02/2013,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,16.71813,33.04791,23.9331,58.68268,31.56757,4.77006,0.87797,25.84024,48.06871,22.27664,28.8131,82.46889,86.16549,205.98838,121.08061,229.88536,281.1517,281.1517,4.17992,81.86566,4.79761,4.91149,19.201359,-99.141398,2649
090040001,01/03/2013,2,4,6,2,4,6,0,0,0,1,2,3,1,2,3,13.23164,35.44329,24.29344,43.94774,35.62143,6.23252,0.57278,20.82835,31.4469,10.62671,24.99326,91.46827,110.79367,189.53174,117.46648,171.98332,237.0432,237.0432,2.29017,87.50416,-0.83802,1.12055,19.35735,-99.299792,2780
090130001,01/03/2013,29,22,51,27,20,47,2,2,4,4,3,7,25,18,43,15.9924,35.37585,25.00202,58.85789,32.18886,5.1116,0.74854,25.81776,41.78949,15.9813,27.51256,84.51396,89.41368,399.05388,131.02965,213.15409,259.69616,259.69616,3.30235,76.50088,0.28359,2.69932,19.263462,-99.104913,2237
090080001,01/03/2013,4,3,7,4,2,6,0,1,1,0,1,1,4,2,6,15.13508,35.46569,23.96534,52.90195,33.53458,5.3621,0.62875,24.65313,39.01747,14.37817,26.57247,87.98514,101.55675,284.48546,131.93937,194.23824,252.3245,252.3245,2.7996,82.45262,-0.04114,1.58747,19.304898,-99.241515,2520
090030001,01/03/2013,13,11,24,13,11,24,0,0,0,4,3,7,9,8,17,15.96388,35.0601,27.5216,57.26813,28.59412,6.10003,0.77934,29.69643,46.753,17.11702,27.03189,82.30734,91.67416,364.54908,117.97823,216.0838,253.74895,253.74895,3.63523,93.9585,1.03241,2.1722,19.350214,-99.162146,2247
090170001,01/03/2013,14,14,28,12,14,26,2,0,2,2,2,4,11,12,23,16.95122,34.1811,28.06211,69.41368,26.31032,7.59964,1.10874,35.64267,69.58615,34.01965,27.00102,74.36611,94.81937,564.92454,125.64829,346.01675,418.07064,418.07064,4.4287,137.7847,1.84417,3.00138,19.419261,-99.113701,2229
090060001,01/03/2013,5,9,14,5,8,13,0,1,1,1,1,2,4,8,12,16.66558,34.82654,27.04095,57.55667,27.73596,7.47255,0.88369,30.63135,55.80078,25.16703,27.01439,77.7902,101.13119,394.00824,123.84869,306.89939,368.50837,368.50837,4.50879,130.80159,1.81119,3.12764,19.395901,-99.097612,2233
090050001,01/03/2013,54,53,107,49,49,98,5,4,9,10,9,19,44,44,88,16.64503,34.17115,28.37198,66.37039,28.49977,7.7676,0.85667,32.28889,61.89282,29.61602,27.23839,77.43104,119.31145,376.67649,123.55902,373.38527,444.3759,444.3759,4.82248,137.25478,3.061,2.77509,19.482945,-99.113471,2229
090140001,01/03/2013,2,2,4,2,2,4,0,0,0,0,1,1,2,1,3,16.35249,35.00442,27.08517,57.71215,29.06037,6.92419,0.81641,29.57742,49.29114,19.74625,26.9609,79.8495,102.47915,364.94711,122.99175,246.95517,298.25971,298.25971,3.97317,113.42128,1.85811,2.62609,19.371992,-99.157853,2238
090110001,01/03/2013,20,10,30,18,9,27,2,1,3,2,0,2,18,10,28,16.29721,35.28675,26.26557,62.16931,34.81399,4.86045,0.71759,19.21957,28.77945,9.65442,29.0961,87.40075,100.32204,457.3046,124.63331,164.04499,203.74937,203.74937,3.62252,61.8936,-1.04967,3.03351,19.270566,-99.004846,2249
090160001,01/03/2013,2,3,5,2,3,5,0,0,0,0,2,2,2,1,3,16.25752,35.14339,27.88104,60.6768,28.39198,8.30549,0.85011,33.71172,56.02321,22.29035,26.81332,80.55361,182.00558,366.23428,122.95423,277.95595,361.31558,361.31558,4.08525,129.2268,1.8965,2.65675,19.407269,-99.190754,2264
090120001,01/03/2013,22,22,44,22,21,43,0,1,1,6,5,11,14,16,30,15.67956,35.1223,24.97887,57.44544,32.28293,4.81345,0.76837,25.18476,40.51639,15.32544,27.12643,84.24654,96.3446,375.59238,134.99703,196.15033,251.43556,251.43556,3.40117,70.00064,0.39677,1.86639,19.288275,-99.167125,2280
090090001,01/03/2013,8,4,12,7,4,11,1,0,1,0,1,1,8,3,11,16.19013,35.36176,26.14574,61.3414,33.35664,5.33081,0.73794,22.17304,35.34243,13.23117,28.61931,86.66239,102.38133,433.41155,126.06825,196.88488,242.40292,242.40292,3.66651,77.73195,-0.7024,2.97293,19.191249,-99.023371,2429
090020001,01/03/2013,14,24,38,13,23,36,1,1,2,2,5,7,12,19,31,16.16681,35.92418,29.2825,61.85945,27.54409,8.89262,0.83166,30.859,60.32718,29.48736,26.89023,81.74238,99.724,301.32162,125.03805,368.15949,431.07648,431.07648,4.68834,173.29294,1.42915,3.1867,19.484102,-99.18436,2244
090070001,01/03/2013,68,51,119,62,48,110,6,3,9,5,6,11,63,45,108,16.38656,35.29658,25.94088,57.50787,28.54525,6.77196,0.87819,29.13707,49.09909,19.9891,27.06994,80.82574,96.2161,470.60266,121.03228,291.63661,342.17355,342.17355,4.63662,127.91589,1.36463,3.18072,19.359004,-99.092622,2242
090100001,01/03/2013,17,9,26,16,6,22,1,3,4,3,2,5,14,7,21,15.96649,35.2514,27.62808,60.09782,28.7894,8.0574,0.8353,32.87874,54.4673,21.58492,26.73863,82.54511,174.10853,361.73276,123.51991,270.66834,350.36844,350.36844,3.99906,125.4535,1.37953,2.41576,19.390806,-99.195413,2308
090150001,01/03/2013,27,14,41,24,13,37,3,1,4,4,3,7,23,11,34,16.72645,34.77516,28.35461,62.88024,27.75041,8.03121,0.88481,31.66682,60.15727,28.46742,26.98304,77.06197,106.31387,379.75655,124.60158,342.95181,409.28394,409.28394,4.52469,148.81889,2.42596,2.94813,19.441646,-99.151884,2230
090090033,01/03/2013,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,15.99513,35.42739,25.8266,59.72095,32.27554,5.5154,0.75585,24.62367,40.48724,15.87795,27.82344,85.54311,100.38782,400.45159,128.83886,216.60774,267.38225,267.38225,3.63497,87.32317,-0.10306,2.78347,19.191988,-99.089954,2753
090080001,01/04/2013,5,4,9,5,4,9,0,0,0,0,0,0,5,4,9,18.59743,32.51394,33.19478,59.77667,42.78619,3.7798,0.69554,25.91606,39.69988,13.80368,29.72561,94.793,151.46687,206.50031,151.08107,196.63811,250.72727,250.72727,2.94065,82.45417,9.68049,2.87286,19.304898,-99.241515,2520
090090001,01/04/2013,3,5,8,3,5,8,0,0,0,0,1,1,3,4,7,19.64857,32.82174,34.81523,69.10235,43.27073,3.67822,0.71412,22.92462,35.52364,12.70583,30.00794,88.66619,155.60212,319.20924,164.31582,225.2049,272.16155,272.16155,4.0691,81.71908,9.80961,4.61115,19.191249,-99.023371,2429
090110001,01/04/2013,13,9,22,12,9,21,1,0,1,3,1,4,10,8,18,19.8521,32.9425,34.89074,70.14143,45.04039,3.26251,0.64773,19.91695,28.68828,8.93844,29.99103,87.64306,154.06625,347.58059,172.12838,193.70293,239.78267,239.78267,4.01668,68.01512,9.88083,5.03093,19.270566,-99.004846,2249
090070001,01/04/2013,48,38,86,42,36,78,6,2,8,6,5,11,41,32,73,20.13332,32.23521,34.8729,63.97381,37.96217,4.15243,0.71851,29.78696,47.62147,17.87727,29.9541,86.48263,146.57353,232.8884,161.58358,253.79965,295.76868,295.76868,4.59083,120.6284,10.48177,4.76429,19.359004,-99.092622,2242
090040001,01/04/2013,5,0,5,5,0,5,0,0,0,2,0,2,3,0,3,16.68562,31.40467,32.76956,48.40037,47.68151,4.07355,0.67155,20.3595,28.69951,8.36817,28.50246,98.74068,127.89031,167.77012,146.6836,143.85853,189.00231,189.00231,2.27491,77.89982,7.81676,3.03146,19.35735,-99.299792,2780
090120001,01/04/2013,21,13,34,20,12,32,1,1,2,2,2,4,18,10,28,19.14025,32.54488,34.64048,60.69464,41.47157,3.99792,0.89678,26.60691,42.29024,15.67513,30.06399,91.96048,147.71025,217.54365,149.7881,245.48109,298.53424,298.53424,4.20055,83.28286,10.09062,3.19225,19.288275,-99.167125,2280
090160001,01/04/2013,5,4,9,5,4,9,0,0,0,0,1,1,5,3,8,19.94745,32.23941,34.05435,63.60184,40.09763,5.32666,0.9336,34.88418,55.70499,20.80643,30.06595,87.39498,113.17308,196.66817,158.3553,249.1554,309.52829,309.52829,4.11201,142.42068,10.77207,4.63082,19.407269,-99.190754,2264
090060001,01/04/2013,15,13,28,15,13,28,0,0,0,2,1,3,13,12,25,20.40361,31.4043,34.7902,64.2599,38.26621,4.61546,0.98939,32.6585,56.07064,23.4193,29.88142,85.16625,145.98694,239.6986,161.79663,319.58366,367.21346,367.21346,5.28143,121.36477,10.77005,4.31677,19.395901,-99.097612,2233
090100001,01/04/2013,18,19,37,15,16,31,3,3,6,3,3,6,15,15,30,19.62469,32.30319,34.18319,63.36106,40.22352,5.20801,0.9183,34.05711,54.31921,20.25519,29.9828,89.17328,116.62294,198.89009,157.56858,247.59615,306.75432,306.75432,4.05637,137.6129,10.46794,4.21189,19.390806,-99.195413,2308
090170001,01/04/2013,20,14,34,20,12,32,0,2,2,4,3,7,16,11,27,20.67761,29.99531,34.45258,75.35045,36.56693,5.01813,1.20655,38.65043,68.91867,30.38125,29.72573,84.0973,123.24595,270.19099,172.01488,309.5805,354.87929,354.87929,4.89262,154.19283,10.91407,3.17882,19.419261,-99.113701,2229
090140001,01/04/2013,5,3,8,5,3,8,0,0,0,1,2,3,4,1,5,20.01528,32.10166,37.55756,62.96575,38.82764,4.66715,0.92684,30.82292,50.58488,19.83501,29.99342,87.05498,137.84919,226.6014,150.65482,271.22558,319.2279,319.2279,4.52078,112.48916,10.92139,4.50417,19.371992,-99.157853,2238
090150001,01/04/2013,10,18,28,10,18,28,0,0,0,1,2,3,9,16,25,20.44395,31.64228,33.29922,66.07193,36.74496,5.18652,0.99341,33.84963,61.69026,27.8299,29.99327,84.72056,130.92074,231.02999,153.5256,314.58664,368.22501,368.22501,4.53513,116.43247,11.18015,4.72768,19.441646,-99.151884,2230
090130001,01/04/2013,19,18,37,17,17,34,2,1,3,3,1,4,15,16,31,19.56128,32.56549,34.39564,64.06525,42.04243,3.81659,0.80303,26.80142,42.47187,15.69436,29.99179,89.38364,130.55489,251.40548,163.47445,249.4485,295.08984,295.08984,3.99326,84.52522,10.0425,4.19046,19.263462,-99.104913,2237
090020001,01/04/2013,17,12,29,17,11,28,0,1,1,1,0,1,16,12,28,20.00397,32.69007,31.81423,62.62341,35.36711,5.7261,0.94483,33.01916,63.01168,29.99196,30.59845,86.68949,110.54842,198.48993,143.63915,316.28384,374.44946,374.44946,4.11369,105.66832,9.90389,4.83422,19.484102,-99.18436,2244
090030001,01/04/2013,19,12,31,18,12,30,1,0,1,6,3,9,12,9,21,19.5205,32.33299,40.06272,61.76143,37.79629,4.55372,0.89126,30.38222,48.65677,18.42145,30.04092,89.87368,134.55326,220.48394,141.23854,251.3229,294.9891,294.9891,4.25147,101.92297,10.43918,3.71798,19.350214,-99.162146,2247
090050001,01/04/2013,58,25,83,56,23,79,2,2,4,7,6,13,51,19,70,20.26837,31.73888,35.52172,72.65289,37.52241,5.34984,0.97833,34.54722,64.34443,29.81148,29.89219,84.60301,261.19977,387.49265,154.98661,370.2661,427.7944,427.7944,5.24536,123.35236,10.7001,4.74967,19.482945,-99.113471,2229
090120001,01/05/2013,24,17,41,23,17,40,1,0,1,1,2,3,22,13,35,18.76209,45.0675,36.85376,57.122,48.08747,3.63594,0.81923,26.00769,36.86948,10.8665,29.31506,94.97275,97.75747,270.65238,156.13651,165.97037,216.87231,216.87231,3.34143,50.6039,10.60252,4.71879,19.288275,-99.167125,2280
090100001,01/05/2013,21,16,37,20,15,35,1,1,2,2,3,5,19,13,32,19.02568,45.32526,37.70884,60.87397,46.52626,4.91461,0.8424,33.82445,47.1491,13.32316,28.89166,93.06967,105.23294,187.5971,160.00109,156.93814,244.79189,244.79189,3.01312,78.89692,11.19533,5.28336,19.390806,-99.195413,2308
090060001,01/05/2013,17,5,22,16,4,20,1,1,2,0,1,1,17,4,21,19.79018,44.79438,38.43613,58.97216,43.81803,4.13793,0.91504,32.39599,48.2736,15.88082,29.05037,94.41108,98.20992,204.70061,164.02582,189.1591,250.81382,250.81382,3.5732,65.14189,12.08385,5.59235,19.395901,-99.097612,2233
