LAT_DECIMAL,LON_DECIMAL,Cluster
19.25,-98.998611,1
19.163724,-99.065538,1
19.204729,-99.086021,1
19.187227,-99.166644,1
19.212538,-99.087519,1
19.28177,-98.986736,1
19.205219,-99.214728,2
19.189722,-99.035,1
19.301087,-99.269983,2
19.206347,-99.076466,1
19.20237,-99.232835,2
19.184051,-99.08698,1
19.225277,-98.969546,1
19.211977,-99.067283,1
19.260491,-99.070685,1
19.231818,-99.072194,1
19.185318,-99.05893,1
19.1925,-99.168888,2
19.196752,-98.980547,1
19.178226,-99.065046,1
19.213945,-99.060959,1
19.18758,-99.035276,1
19.192717,-99.032372,1
19.235056,-99.010319,1
19.206848,-99.175185,2
19.256984,-99.240444,2
19.234476,-99.052193,1
19.258401,-99.056906,1
19.188333,-99.134722,1
19.209144,-99.075948,1
19.262318,-99.078127,1
19.291065,-99.251139,2
19.167599,-99.036909,1
19.233737,-99.193924,2
19.199217,-99.061059,1
19.188904,-99.033092,1
19.154264,-98.98935,1
19.180496,-99.093614,1
19.189733,-99.226344,2
19.222514,-99.054556,1
19.209792,-99.10139,1
19.170222,-99.031517,1
19.114838,-99.195544,1
19.186514,-99.043464,1
19.192061,-99.122251,1
19.193232,-99.055784,1
19.228849,-99.234061,2
19.221208,-98.958458,1
19.186706,-99.220877,2
19.21369,-99.056333,1
19.204519,-99.214911,2
19.208806,-99.2113,2
19.217471,-99.089419,1
19.200159,-99.239635,2
19.211234,-99.078642,1
19.18561,-99.051329,1
19.184722,-99.089444,1
19.200556,-99.114444,1
19.234229,-99.017814,1
19.234485,-99.225421,2
19.170413,-99.063424,1
19.127727,-99.118053,1
19.234715,-99.195795,2
19.115573,-99.196541,1
19.185084,-99.001977,1
19.232204,-98.985071,1
19.194268,-99.081321,1
19.171589,-99.044799,1
19.210337,-99.046523,1
19.222076,-99.010259,1
19.310841,-99.033679,1
19.179769,-99.010421,1
19.224628,-99.243924,2
19.183165,-99.059872,1
19.181885,-99.096395,1
19.19,-99.258333,2
19.311196,-99.031394,1
19.217269,-99.112537,1
19.1768,-99.021313,1
19.207686,-99.215675,2
19.176215,-99.169661,1
19.202192,-99.222043,2
19.211315,-98.988522,1
19.183562,-99.054286,1
19.207387,-99.050206,1
19.18658,-99.050935,1
19.203389,-99.008447,1
19.220232,-98.963482,1
19.194742,-99.057572,1
19.167838,-99.070328,1
19.17389,-99.024066,1
19.212961,-98.966332,1
19.289692,-99.251075,2
19.228047,-99.125747,1
19.219349,-99.140579,1
19.190231,-99.101044,1
19.167272,-98.991642,1
19.208506,-99.079294,1
19.218441,-99.224953,2
19.230366,-99.242067,2
19.202915,-98.9829,1
19.214012,-99.045746,1
19.237186,-99.084343,1
19.22007,-99.066526,1
19.233863,-99.084526,1
19.190642,-99.220449,2
19.186144,-99.095954,1
19.266452,-99.089052,1
19.124855,-99.16716,1
19.196932,-99.170486,2
19.192369,-99.167312,2
19.215238,-99.074391,1
19.182975,-99.167116,1
19.208416,-99.225224,2
19.120992,-99.177351,1
19.241451,-99.198771,2
19.148554,-99.165659,1
19.209191,-99.202407,2
19.195587,-99.166745,2
19.170798,-99.142708,1
19.176813,-99.146459,1
19.24978,-99.135259,1
19.219549,-99.223959,2
19.294706,-98.99461,1
